Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170821.mp4,1433754501.723,1433754504.783,3.059s,6856,6900
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170836.mp4,1433754516.186,1433754516.186,0.000s,7064,7064
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170850.mp4,1433754530.649,1433754530.649,0.000s,7272,7272
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-171019.mp4,1433754619.096,1433754619.096,0.000s,8544,8544
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-171032.mp4,1433754632.447,1433754632.447,0.000s,8736,8736
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-171048.mp4,1433754648.022,1433754650.526,2.503s,8960,8996
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-171239.mp4,1433754759.276,1433754764.839,5.563s,10560,10640
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-171348.mp4,1433754828.810,1433754832.982,4.172s,11560,11620
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-172432.mp4,1433755472.414,1433755484.374,11.960s,20816,20988
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-172538.mp4,1433755538.889,1433755540.836,1.947s,21772,21800
Motion,z:\calebroom\20150608\17\170025.mp4,20150608-172621.mp4,1433755581.165,1433755646.527,65.362s,22380,23320
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-172833.mp4,1433755713.279,1433755721.067,7.788s,24280,24392
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-172921.mp4,1433755761.118,1433755763.622,2.503s,24968,25004
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-172951.mp4,1433755791.157,1433755793.660,2.503s,25400,25436
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173028.mp4,1433755828.194,1433755831.485,3.291s,32,80
Motion,z:\calebroom\20150608\17\173026.mp4,20150608-173113.mp4,1433755873.444,1433755905.257,31.812s,692,1156
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173207.mp4,1433755927.745,1433755929.939,2.194s,1484,1516
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173327.mp4,1433756007.550,1433756023.731,16.180s,2648,2884
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173403.mp4,1433756043.751,1433756045.671,1.920s,3176,3204
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173452.mp4,1433756092.841,1433756097.229,4.388s,3892,3956
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173530.mp4,1433756130.412,1433756134.800,4.388s,4440,4504
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173545.mp4,1433756145.770,1433756148.787,3.017s,4664,4708
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173755.mp4,1433756275.763,1433756275.763,0.000s,6560,6560
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173813.mp4,1433756293.040,1433756293.040,0.000s,6812,6812
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-173848.mp4,1433756328.418,1433756335.548,7.130s,7328,7432
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174003.mp4,1433756403.287,1433756407.126,3.839s,8420,8476
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174040.mp4,1433756440.584,1433756443.052,2.468s,8964,9000
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174318.mp4,1433756598.001,1433756598.001,0.000s,11260,11260
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174505.mp4,1433756705.505,1433756713.184,7.679s,12828,12940
